,text,Sentiment
0,good price return,1
1,device work advertise like size,1
2,looks good battery suck phone arrive appear pristine condition take tmobile set old phone mention replace exact phone lose anyhow battery life two year old iphone 12 significantly good battery phone advertise 80 battery life think fact something think order one turn low power mode immediately morning 100 still need charge phone end day,0
3,like new excellent condition,1
4,battery disappointment take time get use phone11 se reason update battery run 400 private message every day full 10 hr night charge phone make 500 expect hold charge longer disappointment thought literature say battery well 9 hour,0
5,iphone se workhorse first iphone se 2nd one se2 need bell whistle one work every level delivery 2 week late price condition phone get two make worth mile unlocked easy set se series iphones willys jeep solid,1
6,iphone brand new battery go iphone work great brand new come beautiful cover protection everything battery go needs replacement immediately last even 130h without use phone,0
7,okay dollar value good purpose,1
8,easy navigate easy use,1
9,like new like new save 100,1
10,almost perfect condition quite iphone 11 hopedexpected regard inside phone outside however little nick eight inch front glass halfway noticeable take long get phone switch fault phone issue verizon go keep certainly perfect condition feel like get good condition unfortunately nick glass see time,1
11,perfect purchase come perfectly new would highly recommend purchase,1
12,like new refurbish se 2nd gen arrive perfect condition scratch blemish battery health register 99 problem report far continue operate properly ill probably never buy brand new phone,1
13,work exactly expect work exactly expect 2nd se,1
14,fair condition phone alright get hot facetime give notification hot,0
15,flawless love look like new battery capacity 100 phone work well well worth price,1
16,f need cheap iphone bcuz nre hear aid run though really glad change apple even old one,1
17,want battery life way go one call 3 hour battery drain take figure setup 1st iphone phone purchase medical reason mind work make short call notice screen keep go dark minor adjustment make look call know phone would wonder purchased secondhand friend tell iphones poor battery life find something else,0
18,come 2 electric line across screen send back revive fast 2 electronic line across screen power upsent back full refund go cricket wireless get new one cheap,0
19,almost two month since phone phone work great come fast saw light scratch rub mark phone tell mind scratch set every start watch movie look photo saw two fine line screen bit side noticeable terrible id rather setup phone kept,1
20,good phone battery last good phone price battery last need new battery point get pay overall good phone though,1
21,get pay overall reliable get good work phone happy overall screen way scratch damage put glass screen protector many scratch engrave speck apply one overall good phone battery 92 decent,1
22,bad consider get phone good condition 4 day later notice crack screen run middle bottom hid real well polish screen beware buy renew iphone performance battery life problem phone work well department aware cosmetic condition use phone,1
